Episode,Season,Episode in Season,Name,Original air date,US viewers,Rating (18-49),Share (18-49),Rating (household),Share (household),Weekly rank
1,1,1,The Marooning,5/31/2000,15.5,6.1,20,,,
2,1,2,The Generation Gap,6/7/2000,18.1,7.5,25,,,
3,1,3,Quest for Food,6/14/2000,23.3,9.4,29,,,
4,1,4,"Too Little, Too Late?",6/21/2000,24.2,9.8,33,,,
5,1,5,Pulling Your Own Weight,6/28/2000,24.0,9.6,31,,,
6,1,6,Udder Revenge,7/5/2000,24.5,10.6,33,,,
7,1,7,The Merger,7/12/2000,24.5,10.4,34,,,
8,1,8,Thy Name is Duplicity,7/19/2000,26.2,11.4,35,,,
9,1,9,Old and New Bonds,7/26/2000,27.2,11.9,36,,,
10,1,10,Crack in the Alliance,8/2/2000,27.4,11.9,38,,,
11,1,11,Long Hard Days,8/9/2000,28.0,12.1,38,,,
12,1,12,Death of an Alliance,8/16/2000,28.7,12.7,38,,,
13,1,13,The Final Four,8/23/2000,51.7,22.8,54,,,
14,1,14,Reunion,8/23/2000,,,,,,
15,2,1,Stranded,1/28/2001,45.4,21.8,48,,,
16,2,2,Suspicion,2/1/2001,29.0,11.9,28,,,
17,2,3,Trust No One,2/8/2001,29.0,12.2,28,,,
18,2,4,The Killing Fields,2/15/2001,28.2,11.7,29,,,
19,2,5,The Gloves Come Off,2/22/2001,28.8,11.9,28,,,
20,2,6,Trial By Fire,3/1/2001,31.3,13.7,34,,,
21,2,7,The Merge,3/8/2001,28.7,12.1,31,,,
22,2,8,Friends?,3/14/2001,28.5,12.0,33,,,
23,2,9,The First 24 Days,3/22/2001,,,,,,
24,2,10,Honeymoon or Not?,3/29/2001,28.1,11.8,29,,,
25,2,11,Let's Make a Deal,4/5/2001,27.7,11.7,32,,,
26,2,12,No Longer Just a Game,4/12/2001,27.6,11.7,34,,,
27,2,13,Enough is Enough,4/19/2001,28.4,11.7,32,,,
28,2,14,The Final Four,4/26/2001,26.9,11.2,31,,,
29,2,15,The Most Deserving,5/3/2001,36.4,15.9,39,,,
30,2,16,The Reunion,5/3/2001,41.3,18.5,41,,,
31,3,1,Question of Trust,10/11/2001,23.8,10.4,23,,,
32,3,2,Who's Zooming Whom?,10/18/2001,19.6,7.9,20,,,
33,3,3,The Gods Are Angry,10/25/2001,20.4,8.0,20,,,
34,3,4,The Young and Untrusted,11/1/2001,18.7,7.8,18,,,
35,3,5,The Twist,11/8/2001,20.6,8.3,20,,,
36,3,6,I'd Never Do It To You,11/15/2001,19.7,8.1,21,,,
37,3,7,Will There Be a Feast Tonight?,11/22/2001,17.7,6.6,18,,,
38,3,8,The First 21 Days,11/29/2001,,,,,,
39,3,9,Smoking Out the Snake,12/6/2001,19.3,7.9,21,,,
40,3,10,"Dinner, Movie and a Betrayal",12/13/2001,20.4,8.1,21,,,
41,3,11,We Are Family,12/20/2001,19.6,7.7,22,,,
42,3,12,The Big Adventure,12/27/2001,18.9,7.5,20,,,
43,3,13,Truth Be Told,1/3/2002,21.3,8.7,20,,,
44,3,14,The Final Four: No Regrets,1/10/2002,27.3,11.3,25,,,
45,3,15,Winner Revealed,1/10/2002,30.9,13.1,30,,,
46,4,1,Back to the Beach,2/28/2002,23.2,9.1,22,,,
47,4,2,Nacho Momma,3/7/2002,23.4,9.4,23,,,
48,4,3,"No Pain, No Gain",3/13/2002,20.1,8.9,24,,,
49,4,4,The Winds Twist,3/20/2002,,,,,,
50,4,5,The End of Innocence,3/28/2002,,8.2,22,,,
51,4,6,The Underdogs,4/4/2002,,,,,,
52,4,7,True Lies,4/11/2002,,7.7,20,,,
53,4,8,Jury's Out,4/18/2002,19.9,8.0,23,,,
54,4,9,Look Closer: The First 24 Days,4/24/2002,,,,,,
55,4,10,Two Peas in a Pod,4/25/2002,19.4,7.8,20,,,
56,4,11,The Princess,5/2/2002,19.6,7.8,21,,,
57,4,12,Marquesan Vacation,5/9/2002,20.8,8.1,22,,,
58,4,13,A Tale of Two Cities,5/16/2002,19.2,7.5,20,,,
59,4,14,The Sole Survivor,5/19/2002,25.9,10.4,23,,,
60,4,15,The Reunion,5/19/2002,,,,,,
61,5,1,The Importance of Being Eldest,9/19/2002,23.1,9.6,28,,,
62,5,2,The Great Divide,9/26/2002,21.7,8.6,21,,,
63,5,3,Family Values,10/3/2002,20.6,8.5,21,,,
64,5,4,Gender Bender,10/10/2002,21.2,8.6,22,,,
65,5,5,The Ocean's Surprise,10/17/2002,,8.3,23,,,
66,5,6,The Power of One,10/24/2002,20.8,8.4,22,,,
67,5,7,Assumptions,10/31/2002,,7.5,,,,
68,5,8,Sleeping with the Enemy,11/7/2002,,,,,,
69,5,9,Desperate Measures,11/14/2002,21.6,8.6,22,,,
70,5,10,While the Cats are Away,11/21/2002,,,,,,
71,5,11,The First 30 Days,11/28/2002,,,,,,
72,5,12,A Big Surprise... and Another,12/5/2002,21.5,8.6,,,,
73,5,13,The Tides are Turning,12/12/2002,19.0,7.4,,,,
74,5,14,Slip Through Your Fingers,12/19/2002,24.1,9.9,26,,,
75,5,15,The Reunion,12/19/2002,,,,,,
76,6,1,Boys vs. Girls,2/13/2003,23.3,9.1,24,,,
77,6,2,Storms,2/20/2003,20.3,7.7,19,,,
78,6,3,Girl Power,2/27/2003,,8.4,22,,,
79,6,4,Trapped,3/6/2003,23.3,9.3,23,,,
80,6,5,Pick-up Sticks,3/13/2003,,,,,,
81,6,6,More Than Meats the Eye,3/19/2003,,,,,,
82,6,7,Girls Gone Wilder,3/26/2003,16.7,6.3,16,,,
83,6,8,Sleeping With the Enemy,4/3/2003,18.4,7.4,,,,
84,6,9,The Chain,4/10/2003,,,,,,
85,6,10,Amazon Redux,4/17/2003,,,,,,
86,6,11,Q and A,4/24/2003,18.0,6.4,,,,
87,6,12,Sour Grapes,5/1/2003,17.7,,,,,
88,6,13,The Amazon Heats Up,5/8/2003,19.1,7.0,,,,
89,6,14,...And Then There Were Four,5/11/2003,22.3,8.9,22,,,
90,6,15,The Reunion,5/11/2003,22.3,8.9,22,,,
91,7,1,"Beg, Barter, Steal",9/18/2003,21.5,8.4,23,,,
92,7,2,To Quit or Not to Quit,9/25/2003,19.9,7.5,21,,,
93,7,3,"United We Stand, Divided We...?",10/2/2003,19.7,7.5,21,,,
94,7,4,Pick a Castaway...Any Castaway,10/9/2003,19.4,7.4,20,,,
95,7,5,Everyone's Hero,10/16/2003,19.4,7.4,20,,,
96,7,6,Me and My Snake,10/23/2003,20.2,7.5,20,,,
97,7,7,"What the...?, Part 1",10/30/2003,20.7,7.7,21,,,
98,7,8,"What the...?, Part 2",11/6/2003,21.3,7.7,21,,,
