Name,Age,Hometown,Season,Finish,Tribal Challenge Wins,Individual Challenge Wins,Total Wins,Days Lasted,Votes Against,Profile Link,Photo Link
Sonja Christopher,63,"Walnut Creek, CA",Borneo,16th,0,N/A,0,3,4,Sonja Christopher,
B.B. Andersen,64,"Mission Hills, KS",Borneo,15th,2,N/A,2,6,6,B.B. Andersen,
Stacey Stillman,27,"San Francisco, CA",Borneo,14th,2,N/A,2,9,6,Stacey Stillman,
Ramona Gray,28,"Edison, NJ",Borneo,13th,3,N/A,3,12,6,Ramona Gray,
Dirk Been,23,"Spring Green, WI",Borneo,12th,4,N/A,4,15,4,Dirk Been,
Joel Klug,27,"Sherwood, AR",Borneo,11th,6,N/A,6,18,4,Joel Klug,
Gretchen Cordy,38,"Clarksville, TN",Borneo,10th,6,0,6,21,4,Gretchen Cordy,
Greg Buis,24,"Gold Hill, CO",Borneo,9th,6,2,8,24,6,Greg Buis,
Jenna Lewis,22,"Franklin, NH",Borneo,8th,6,0,6,27,11,Jenna Lewis,
Gervase Peterson,30,"Willingboro, NJ",Borneo,7th,6,2,8,30,6,Gervase Peterson,
Colleen Haskell,23,"Miami Beach, FL",Borneo,6th,6,1,7,33,7,Colleen Haskell,
Sean Kenniff,30,"Carle Place, NY",Borneo,5th,5,1,6,36,9,Sean Kenniff,
Susan Hawk,38,"Palmyra, WI",Borneo,4th,5,0,5,37,7,Susan Hawk,
Rudy Boesch,72,"Virginia Beach, VA",Borneo,3rd,5,1,6,38,8,Rudy Boesch,
Kelly Wiglesworth,22,"Kernville, NV",Borneo,Runner-Up,5,5,10,39,0,Kelly Wiglesworth,
Richard Hatch,39,"Newport, RI",Borneo,Sole Survivor,5,1,6,39,6,Richard Hatch,
Debb Eaton,45,"Milan, NH",The Australian Outback,16th,0,N/A,0,3,7,Debb Eaton,
Kel Gleason,32,"Ford Hood, TX",The Australian Outback,15th,2,N/A,2,6,7,Kel Gleason,
Maralyn Hershey,51,"Wakefield, VA",The Australian Outback,14th,3,N/A,3,9,5,Maralyn Hershey,
Mitchell Olson,23,"Union City, NJ",The Australian Outback,13th,3,N/A,3,12,6,Mitchell Olson,
Kimmi Kappenberg,27,"Ronkonkoma, NY",The Australian Outback,12th,5,N/A,5,15,6,Kimmi Kappenberg,
Michael Skupin,38,"White Lake, MI",The Australian Outback,11th,6,N/A,6,17,0,Michael Skupin,
Jeff Varner,34,"New York City, NY",The Australian Outback,10th,6,0,6,21,11,Jeff Varner,
Alicia Calaway,32,"New York City, NY",The Australian Outback,9th,6,0,6,24,5,Alicia Calaway,
Jerri Manthey,30,"Los Angeles, CA",The Australian Outback,8th,4,2,6,27,12,Jerri Manthey,
Nick Brown,23,"Steilacoom, WA",The Australian Outback,7th,6,1,7,30,4,Nick Brown,
Amber Brkich,22,"Beaver, PA",The Australian Outback,6th,4,0,4,33,6,Amber Brkich,
Rodger Bingham,53,"Crittenden, KY",The Australian Outback,5th,6,0,6,36,5,Rodger Bingham,
Elisabeth Filarski,23,"Newton, MA",The Australian Outback,4th,6,0,6,39,5,Elisabeth Filarski,
Keith Famie,40,"West Bloomfield, MI",The Australian Outback,3rd,4,2,6,41,10,Keith Famie,
Colby Donaldson,26,"Dallas, TX",The Australian Outback,Runner-Up,4,8,12,42,9,Colby Donaldson,
Tina Wesson,39,"Knoxville, TN",The Australian Outback,Sole Survivor,4,1,5,42,0,Tina Wesson,
Diane Ogden,42,"Lincoln, NE",Africa,16th,0,N/A,0,3,6,Diane Ogden,
Jessie Camacho,27,"Orlando, FL",Africa,15th,0,N/A,0,6,5,Jessie Camacho,
Carl Bilancione,46,"Winter Springs, FL",Africa,14th,3,N/A,3,9,7,Carl Bilancione,
