Season,Title,Episodes,First aired,Last aired
1,Borneo,14,5/31/2000,8/23/2000
2,The Australian Outback,16,1/28/2001,5/3/2001
3,Africa,15,10/11/2001,1/10/2002
4,Marquesas,15,2/28/2002,5/19/2002
5,Thailand,15,9/19/2002,12/19/2002
6,The Amazon,15,2/13/2003,5/11/2003
7,Pearl Islands,15,9/18/2003,12/14/2003
8,All-Stars,17,2/1/2004,5/9/2004
9,Vanuatu,15,9/16/2004,12/12/2004
10,Palau,15,2/17/2005,5/15/2005
11,Guatemala,15,9/15/2005,12/11/2005
12,Panama,16,2/2/2006,5/14/2006
13,Cook Islands,16,9/14/2006,12/17/2006
14,Fiji,15,2/8/2007,5/13/2007
15,China,15,9/20/2007,12/16/2007
16,Micronesia,15,2/7/2008,5/11/2008
17,Gabon,14,9/25/2008,12/14/2008
18,Tocantins,15,2/12/2009,5/17/2009
19,Samoa,16,9/17/2009,12/20/2009
20,Heroes vs. Villains,15,2/11/2010,5/16/2010
21,Nicaragua,16,9/15/2010,12/19/2010
22,Redemption Island,15,2/16/2011,5/15/2011
23,South Pacific,16,9/14/2011,12/18/2011
24,One World,15,2/15/2012,5/13/2012
25,Philippines,15,9/19/2012,12/16/2012
26,Caramoan,15,2/13/2013,5/12/2013
27,Blood vs. Water,15,9/18/2013,12/15/2013
28,Cagayan,14,2/26/2014,5/21/2014
29,San Juan del Sur,15,9/24/2014,12/17/2014
30,Worlds Apart,15,2/25/2015,5/20/2015
31,Cambodia,15,9/23/2015,12/16/2015
32,Kaôh Rōng,15,2/17/2016,5/18/2016
33,Millennials vs. Gen X,14,9/21/2016,12/14/2016
34,Game Changers,13,3/8/2017,5/24/2017
35,Heroes vs. Healers vs. Hustlers,14,9/27/2017,12/20/2017
36,Ghost Island,14,2/28/2018,5/23/2018
